Company_Name,Coding,Year,ESG Score,Return on Equity,Return on Asset,Earning Per Share,Price/Sales Per Share Ratio,Earning before Interest & Taxes,DIVIDEND_YIELD
HOME DEPOT,1,2008,65.85,12.74,6.24,1.34,0.54,4.214,3.54
HOME DEPOT,1,2009,53.06,14.32,7.56,1.57,0.74,4.658,4.11
HOME DEPOT,1,2010,59.78,17.44,9.1,2.01,0.85,5.803,3.18
HOME DEPOT,1,2011,60.45,21.11,10.61,2.47,0.94,6.674,2.63
HOME DEPOT,1,2012,68.09,25.42,12.13,3.001,1.25,7.853,2.67
HOME DEPOT,1,2013,43.23,35.55,14.34,3.747,1.5,9.178,1.83
HOME DEPOT,1,2014,45.9,58.09,17.13,4.714,1.7,10.806,1.93
HOME DEPOT,1,2015,38.44,89.64,18.46,5.463,1.92,11.94,1.83
HOME DEPOT,1,2016,80.7,149.44,20.12,6.448,1.75,13.463,1.97
HOME DEPOT,1,2017,66.39,298.25,21.37,7.396,2.22,14.755,2.04
HOME DEPOT,1,2018,47.35,349.09,27.07,9.655,1.82,15.607,1.81
HOME DEPOT,1,2019,45.62,458.88,25.63,10.245,2.17,15.916,2.3
HOME DEPOT,1,2020,47.51,14061.2,22.87,11.935,2.17,18.325,2.44
WALMART,2,2008,43.14,20.63,9.07,3.34,0.55,23.082,1.85
WALMART,2,2009,41.74,21.08,9.4,3.7,0.51,24.131,1.84
WALMART,2,2010,40.14,23.58,10.17,4.47,0.47,25.743,2.01
WALMART,2,2011,36.74,22.45,9.22,4.52,0.46,26.72,2.21
WALMART,2,2012,42.84,23.02,9.31,5.016,0.49,27.988,2.45
WALMART,2,2013,40.19,21,8.6,4.88,0.54,26.991,2.33
WALMART,2,2014,40.27,20.76,8.8,5.046,0.57,27.26,2.41
WALMART,2,2015,40.73,18.15,8.11,4.568,0.41,24.186,2.22
WALMART,2,2016,77.85,17.23,7.62,4.384,0.44,22.864,3.11
WALMART,2,2017,39.61,12.67,5.65,3.21,0.59,17.453,2.98
WALMART,2,2018,41.6,8.87,4.02,2.415,0.53,13.806,2.02
WALMART,2,2019,41.17,20.22,7.43,5.189,0.65,22.715,2.19
WALMART,2,2020,41.88,17.37,6.27,4.745,0.73,22.879,1.82
EXXON MOBIL,3,2008,48.2,38.53,19.56,8.61,0.98,72.989,1.54
EXXON MOBIL,3,2009,50.11,17.25,8.59,3.98,1.2,28.182,2.13
EXXON MOBIL,3,2010,46,23.67,11.56,6.21,1.05,42.541,2.41
EXXON MOBIL,3,2011,47.2,27.26,13.17,8.42,0.95,58.215,2.26
EXXON MOBIL,3,2012,45.9,28.03,13.56,9.697,0.95,64.043,2.21
EXXON MOBIL,3,2013,48.47,19.17,9.58,7.373,1.15,43.793,2.55
EXXON MOBIL,3,2014,50.96,18.67,9.39,7.595,1.09,38.593,2.54
EXXON MOBIL,3,2015,54.44,9.36,4.77,3.849,1.38,14.633,3.08
EXXON MOBIL,3,2016,40,4.64,2.44,1.877,1.91,3.616,3.69
EXXON MOBIL,3,2017,41.34,11.1,5.92,3.235,1.5,13.895,3.47
EXXON MOBIL,3,2018,40.99,10.98,6.17,4.812,1.04,24.364,3.52
EXXON MOBIL,3,2019,38.23,7.48,4.26,3.185,1.17,15.578,4.58
EXXON MOBIL,3,2020,38.55,-12.87,-6.15,-5.257,0.99,-29.288,5.03
WALT DISNEY,4,2008,42.44,14.04,7.92,2.1,1.17,7.533,1.15
WALT DISNEY,4,2009,45.53,10.01,5.87,1.76,1.67,5.669,1.68
WALT DISNEY,4,2010,34.12,11.12,6.44,2.26,1.92,6.643,1.13
WALT DISNEY,4,2011,36.38,12.84,7.2,2.65,1.75,7.893,1.02
WALT DISNEY,4,2012,40.42,14.73,8.15,3.092,2.14,9.105,1.56
WALT DISNEY,4,2013,31.85,14.41,8.15,3.645,3.08,9.281,1.48
WALT DISNEY,4,2014,31.92,16.6,9.3,4.506,3.39,11.686,1.16
WALT DISNEY,4,2015,44.68,18.73,9.93,5.367,3.42,13.319,1.22
WALT DISNEY,4,2016,47.84,21.39,10.68,5.549,3.07,14.296,1.43
WALT DISNEY,4,2017,55.11,21.23,9.91,5.991,3.08,13.975,1.44
WALT DISNEY,4,2018,76.24,27.97,13.49,7.029,2.78,15.513,1.49
WALT DISNEY,4,2019,43.46,16.06,8.2,6.126,3.46,14.697,1.57
WALT DISNEY,4,2020,39.47,-3.32,-0.79,-2.738,5.01,-0.747,1.21
COCA COLA,5,2008,44.67,27.51,14.57,1.245,3.31,7.151,2.12
COCA COLA,5,2009,47.11,30.15,15.83,1.465,4.28,8.506,3.57
COCA COLA,5,2010,45.41,42.32,20.11,2.53,4.36,13.826,2.87
COCA COLA,5,2011,41.65,27.37,11.59,1.845,3.48,11.163,2.79
COCA COLA,5,2012,48.71,28,11.24,1.967,3.46,11.422,2.81
COCA COLA,5,2013,40.56,26.03,10.16,1.904,3.98,11.379,2.76
COCA COLA,5,2014,38.99,22.36,8.18,1.595,4.08,9.067,2.82
COCA COLA,5,2015,50.73,26.31,8.68,1.669,4.28,9.97,2.87
COCA COLA,5,2016,76.88,26.85,7.88,1.495,4.32,8.011,3.15
COCA COLA,5,2017,39.34,6.22,2.02,1.123,5.6,6.47,3.42
COCA COLA,5,2018,36.49,37.79,8.51,1.498,6.39,8.275,3.21
COCA COLA,5,2019,63.02,49.61,11.75,2.068,6.41,10.682,3.31
COCA COLA,5,2020,45.52,40.48,10.52,1.792,7.18,10.208,2.86
CHEVRON,6,2008,40.24,29.23,15.62,11.67,0.59,37.691,2.55
CHEVRON,6,2009,44.6,11.74,6.53,5.24,0.97,15.24,3.73
CHEVRON,6,2010,37.17,19.31,10.97,9.48,0.97,26.468,3.42
CHEVRON,6,2011,41.39,23.75,13.72,13.44,0.9,40.271,3.1
CHEVRON,6,2012,39.05,20.3,11.94,13.32,0.95,39.443,3.05
CHEVRON,6,2013,37.05,15,8.91,11.089,1.14,28.378,3.19
CHEVRON,6,2014,38.04,12.65,7.5,10.138,1.11,24.104,3.35
CHEVRON,6,2015,73.6,2.98,1.75,2.457,1.3,0.158,4.12
CHEVRON,6,2016,43.77,-0.33,-0.14,-0.265,2,-4.62,5.01
CHEVRON,6,2017,70.53,6.26,3.72,3.78,1.76,5.09,3.71
CHEVRON,6,2018,49.57,9.8,6.18,7.731,1.31,14.996,3.23
CHEVRON,6,2019,65.79,1.96,1.47,1.545,1.63,2.366,4.01
CHEVRON,6,2020,63.95,-4.02,-2.13,-2.964,1.67,-6.284,4.09
ABBOTT LABORATORIES,7,2008,38.61,27.69,13.22,3.03,2.82,6.265763,2.17
ABBOTT LABORATORIES,7,2009,41.92,28.49,12.77,3.69,2.73,7.40443,2.91
ABBOTT LABORATORIES,7,2010,42.33,20.45,9.32,2.97,2.12,6.513969,2.89
ABBOTT LABORATORIES,7,2011,47.17,20.07,9.2,3.02,2.27,6.216783,3.75
ABBOTT LABORATORIES,7,2012,80.15,23.31,10.36,3.74,2.61,6.855017,3.46
ABBOTT LABORATORIES,7,2013,48.17,9.93,4.97,1.636,2.76,2.58,1.68
ABBOTT LABORATORIES,7,2014,55.48,9.78,5.93,1.497,3.4,2.682,1.62
ABBOTT LABORATORIES,7,2015,68.34,20.7,11.72,1.757,3.31,3.346,2.17
ABBOTT LABORATORIES,7,2016,61.6,6.71,3.75,0.928,2.73,1.844,2.53
ABBOTT LABORATORIES,7,2017,82.24,1.85,1.71,1.109,3.64,3.135,2.59
ABBOTT LABORATORIES,7,2018,55.72,7.71,4.33,1.411,4.19,3.699,1.9
ABBOTT LABORATORIES,7,2019,56.48,11.97,6.43,2.022,4.85,4.747,1.87
ABBOTT LABORATORIES,7,2020,70.55,14.08,7.26,2.529,5.65,5.514,1.68
THERMO FISHER SCIENTIFIC,8,2008,35.84,6.76,5.1,2.28,1.41,1.2761,0
THERMO FISHER SCIENTIFIC,8,2009,33.04,5.6,4.34,2.01,1.99,1.0452,0
THERMO FISHER SCIENTIFIC,8,2010,53.74,6.73,5.08,2.52,2.1,1.2493,0
THERMO FISHER SCIENTIFIC,8,2011,47.97,8.75,5.99,2.66,1.48,1.3019,0
THERMO FISHER SCIENTIFIC,8,2012,51.22,7.72,4.92,3.38,1.87,1.511,0
THERMO FISHER SCIENTIFIC,8,2013,50.44,7.88,4.87,3.495,3.11,1.5816,0.89
THERMO FISHER SCIENTIFIC,8,2014,66.94,10.13,5.91,4.709,2.98,2.5671,0.52
THERMO FISHER SCIENTIFIC,8,2015,73.23,9.43,5.36,4.915,3.36,2.3513,0.48
THERMO FISHER SCIENTIFIC,8,2016,70.74,9.43,5.36,5.088,3.07,2.4935,0.44
THERMO FISHER SCIENTIFIC,8,2017,71.58,9.48,5.09,6.103,3.61,3.021,0.41
THERMO FISHER SCIENTIFIC,8,2018,69.61,11.09,6.14,7.525,3.73,3.929,0.29
THERMO FISHER SCIENTIFIC,8,2019,68.92,12.91,7.38,9.191,5.13,4.746,0.29
THERMO FISHER SCIENTIFIC,8,2020,66.87,19.87,10.69,15.977,5.77,7.778,0.23
VERIZON COMMUNICATIONS,9,2008,43.33,13.93,3.91,2.263,0.99,17.166,4
VERIZON COMMUNICATIONS,9,2009,37.86,8.76,2.64,1.29,0.87,14.117,6.02
VERIZON COMMUNICATIONS,9,2010,36.81,6.38,1.87,0.9,0.95,14.699,6.09
VERIZON COMMUNICATIONS,9,2011,39.12,6.45,1.88,0.85,1.03,12.866,5.5
VERIZON COMMUNICATIONS,9,2012,39.57,2.53,1.12,0.31,1.07,12.144,5.14
VERIZON COMMUNICATIONS,9,2013,41.93,31.94,5.3,4,1.17,31.802,4.84
VERIZON COMMUNICATIONS,9,2014,54.69,37.65,5.06,2.418,1.47,18.405,4.5
VERIZON COMMUNICATIONS,9,2015,51.85,124.48,8.83,4.368,1.44,33.246,4.68
VERIZON COMMUNICATIONS,9,2016,32.2,67.4,6.53,3.213,1.73,25.46,5.04
VERIZON COMMUNICATIONS,9,2017,44.06,91.74,13.24,3.253,1.72,25.404,4.4
VERIZON COMMUNICATIONS,9,2018,60.55,32.27,7.41,3.758,1.78,24.642,4.55
VERIZON COMMUNICATIONS,9,2019,48.67,33.64,8.27,4.653,1.93,27.478,4.15
VERIZON COMMUNICATIONS,9,2020,48.29,27.55,6.96,4.298,1.9,28.286,4.17
DANAHER,10,2008,26.45,13.95,8.02,1.975,1.5,1.879481,0.15
DANAHER,10,2009,23.46,10.74,6.64,1.73,2.26,1.54751,0.23
DANAHER,10,2010,20.58,14.15,8.95,2.64,2.44,2.440712,0.21
DANAHER,10,2011,33.09,14.19,8.68,2.82,2.05,2.522706,0.17
DANAHER,10,2012,34.88,13.32,7.93,3.363,2.18,3.0984,0.2
DANAHER,10,2013,45.34,13.02,8.25,3.795,2.87,3.7119,0.17
DANAHER,10,2014,47.38,11.36,7.47,3.629,3.08,3.6045,0.13
DANAHER,10,2015,54.62,14.27,8.13,4.739,3.2,3.4868,0.48
DANAHER,10,2016,57.37,10.94,5.72,3.652,3.23,2.7957,0.62
DANAHER,10,2017,61.08,10.1,5.65,3.532,3.58,3.1015,0.61
DANAHER,10,2018,71.65,9.72,5.87,3.726,3.68,3.4502,0.56
DANAHER,10,2019,68.77,10.34,5.63,4.114,6.13,3.4139,0.61
DANAHER,10,2020,80.72,10.77,5.59,4.885,7.16,4.77,0.42
AT&T ,11,2008,33.24,12.16,5.57,2.16,1.37,22.735,4.15
AT&T ,11,2009,35.63,12.65,5.51,2.12,1.35,21.621,6.45
AT&T ,11,2010,32.46,18.63,8.12,3.22,1.4,20.451,6.41
AT&T ,11,2011,35.11,3.63,2.31,0.66,1.42,9.444,6.05
AT&T ,11,2012,36.66,7.34,3.5,1.25,1.54,13.131,5.85
AT&T ,11,2013,33.83,19.91,7.57,3.391,1.47,31.075,5.29
AT&T ,11,2014,35.16,7.02,3,1.195,1.32,13.398,5.5
AT&T ,11,2015,40.8,12.57,4.58,2.366,1.32,24.733,5.64
AT&T ,11,2016,33.06,10.56,4.01,2.099,1.61,24.624,5.6
AT&T ,11,2017,37.02,22.31,7.91,1.487,1.5,21.567,4.79
AT&T ,11,2018,33.5,11.92,5.26,2.743,1.14,32.878,5.42
AT&T ,11,2019,35.89,7.55,3.79,1.895,1.58,26.884,6.66
AT&T ,11,2020,39.54,-3.1,0.2,-0.75,1.2,4.974,5.46
LINDE ,12,2008,80.01,26.47,10.14,3.8,1.75,1.883,1.35
LINDE ,12,2009,83.03,26.9,9.92,4.01,2.8,1.601,2.5
LINDE ,12,2010,74.36,21.52,8.58,3.84,2.94,1.864,1.98
LINDE ,12,2011,73.06,29.65,11.07,5.45,2.91,2.443,1.94
LINDE ,12,2012,69.27,29.29,10.41,5.606,2.94,2.452,1.84
LINDE ,12,2013,67.22,27.7,9.79,5.87,3.26,2.629,1.93
LINDE ,12,2014,68.82,27.7,9.19,5.731,3.12,2.608,1.82
LINDE ,12,2015,68.4,30.9,8.72,5.352,2.75,2.321,2.09
LINDE ,12,2016,70.81,31.88,8.69,5.213,3.2,2.238,2.87
LINDE ,12,2017,76.41,22.59,6.86,5.676,3.91,2.448,2.56
LINDE ,12,2018,85.48,15.21,7.86,12.929,3.5,5.133,1.92
LINDE ,12,2019,85.67,4.54,2.99,4.191,4.11,3.426,2.09
LINDE ,12,2020,75.51,5.19,3.1,4.709,5.14,3.639,1.67
NEXTERA ENERGY ,13,2008,57.14,14.62,5.1,1.017,1.24,2.809,2.3
NEXTERA ENERGY ,13,2009,64.87,13.1,4.59,0.992,1.39,2.701,3.68
NEXTERA ENERGY ,13,2010,68.43,14.27,5.02,1.185,1.46,3.341,3.78
NEXTERA ENERGY ,13,2011,65.36,13.08,4.57,1.147,1.72,3.313,3.69
NEXTERA ENERGY ,13,2012,65.73,12.32,4.18,1.14,2.06,3.561,3.72
NEXTERA ENERGY ,13,2013,66.93,11.19,3.94,1.117,2.42,3.617,3.35
NEXTERA ENERGY ,13,2014,69.51,12.99,4.5,1.4,2.82,4.749,3.04
NEXTERA ENERGY ,13,2015,74.59,12.95,4.51,1.515,2.85,5.102,2.7
NEXTERA ENERGY ,13,2016,72.99,12.41,4.35,1.563,3.55,5.528,2.91
NEXTERA ENERGY ,13,2017,74.43,20.47,6.63,1.852,4.41,5.827,2.92
NEXTERA ENERGY ,13,2018,65.36,21.28,7.55,3.251,5.07,8.42,2.61
NEXTERA ENERGY ,13,2019,70.84,10.59,4.51,1.987,6.38,5.075,2.59
NEXTERA ENERGY ,13,2020,74.39,7.94,3.63,1.527,8.44,4.051,2.02
LOWE'S COMPANIES ,14,2008,42.67,12.85,7.56,1.49,0.66,3.826,1.54
LOWE'S COMPANIES ,14,2009,46.94,9.61,6.05,1.21,0.73,3.138,1.74
LOWE'S COMPANIES ,14,2010,51.96,10.72,6.63,1.42,0.72,3.565,1.55
LOWE'S COMPANIES ,14,2011,51.22,10.53,6.15,1.43,0.64,3.281,1.76
LOWE'S COMPANIES ,14,2012,69.09,12.8,6.72,1.688,0.81,3.569,2.13
LOWE'S COMPANIES ,14,2013,61.64,17.66,7.88,2.139,0.98,4.147,1.81
LOWE'S COMPANIES ,14,2014,75.3,24.58,9.36,2.709,1.21,4.798,1.47
LOWE'S COMPANIES ,14,2015,60.34,28.76,9.22,2.728,1.2,4.963,1.37
LOWE'S COMPANIES ,14,2016,77.8,43.47,10.65,3.476,0.96,5.833,1.6
LOWE'S COMPANIES ,14,2017,81.98,55.84,11.12,4.114,1.14,6.122,1.94
LOWE'S COMPANIES ,14,2018,80.25,48.48,8.11,2.844,1.05,4.031,1.63
LOWE'S COMPANIES ,14,2019,70.5,151.99,13.12,5.486,1.29,6.32,1.98
LOWE'S COMPANIES ,14,2020,79.78,340.92,15.14,7.748,1.34,8.591,1.83
UNION PACIFIC ,15,2008,50.11,15.07,6.87,2.27,1.37,4.167,1.53
UNION PACIFIC ,15,2009,26.31,11.72,5.57,1.875,2.29,3.587,2.6
UNION PACIFIC ,15,2010,48.84,16.09,7.44,2.765,2.75,5.035,1.63
UNION PACIFIC ,15,2011,44.17,18.12,8.31,3.36,2.65,5.836,1.54
UNION PACIFIC ,15,2012,55.22,20.51,9.3,4.135,2.86,6.853,2.19
UNION PACIFIC ,15,2013,57.87,21.35,9.76,4.71,3.56,7.574,2.1
UNION PACIFIC ,15,2014,44.97,24.43,10.82,5.749,4.48,8.904,1.87
UNION PACIFIC ,15,2015,64.08,22.78,9.68,5.489,3.12,8.278,1.8
UNION PACIFIC ,15,2016,66.05,20.83,8.5,5.067,4.34,7.464,2.92
UNION PACIFIC ,15,2017,68.87,47.83,19.7,6.05,5.06,8.139,2.3
UNION PACIFIC ,15,2018,64.68,26.35,11.38,7.909,4.57,8.611,1.88
UNION PACIFIC ,15,2019,58.88,30.71,11.17,8.381,5.88,8.797,2.08
UNION PACIFIC ,15,2020,75.97,30.49,10.08,7.877,7.24,8.121,2.15
UNITED PARCEL SER.'B',16,2008,70.8,31.67,9.28,2.94,1.09,5.457,2.4
UNITED PARCEL SER.'B',16,2009,47.28,29.87,7.49,2.14,1.28,3.724,3.74
UNITED PARCEL SER.'B',16,2010,43.54,44.69,11.29,3.48,1.47,5.832,2.89
UNITED PARCEL SER.'B',16,2011,57.84,50.67,11.81,3.84,1.36,6.11,2.59
UNITED PARCEL SER.'B',16,2012,55.97,13.81,2.9,0.833,1.32,1.355,2.8
UNITED PARCEL SER.'B',16,2013,35.52,78.58,12.43,4.612,1.8,7.05,2.88
UNITED PARCEL SER.'B',16,2014,52.66,70.39,9.19,3.281,1.76,4.985,2.46
UNITED PARCEL SER.'B',16,2015,44.89,210.11,13.98,5.347,1.49,7.662,2.45
UNITED PARCEL SER.'B',16,2016,46.87,238.68,9.44,3.868,1.67,5.509,3.2
UNITED PARCEL SER.'B',16,2017,56.38,698.93,12.24,5.317,1.58,7.592,2.73
UNITED PARCEL SER.'B',16,2018,42.22,238.66,11.06,5.507,1.18,6.615,2.48
UNITED PARCEL SER.'B',16,2019,41.45,141.22,9.22,5.109,1.37,6.296,3.67
UNITED PARCEL SER.'B',16,2020,68.54,68.45,3.18,1.542,1.73,2.545,3.27
MEDTRONIC,17,2008,56.78,19.82,11.58,1.96,2.66,3.14,1.01
MEDTRONIC,17,2009,38.5,17.79,10.11,1.94,3.39,2.811,2.31
MEDTRONIC,17,2010,41.75,22.29,13,2.89,2.6,4.37,1.78
MEDTRONIC,17,2011,42.83,20.24,11.57,3.17,2.6,4.169,2.42
MEDTRONIC,17,2012,52.32,21.87,12.21,3.08,2.69,4.493,2.51
MEDTRONIC,17,2013,38.74,19.38,11.06,3.747,3.55,4.639,2.35
MEDTRONIC,17,2014,38.88,16.08,9.16,2.729,4.3,4.084,1.89
MEDTRONIC,17,2015,33.47,7.36,4.33,1.812,4.21,4.152,1.7
MEDTRONIC,17,2016,71.47,6.72,4.35,3.008,3.52,5.722,2.03
MEDTRONIC,17,2017,46.11,7.87,4.82,3.644,3.78,5.696,2.29
MEDTRONIC,17,2018,76.87,6.15,4.15,3.505,4.15,6.821,2.15
MEDTRONIC,17,2019,69.24,9.19,6.05,3.419,5.04,6.156,2.36
MEDTRONIC,17,2020,42.71,9.5,6.05,2.561,5.47,4.734,1.85
CVS HEALTH ,18,2008,84.08,9.76,6.15,2.18,0.48,6.0665,0.66
CVS HEALTH ,18,2009,58.55,10.54,6.59,2.55,0.47,6.443,1.18
CVS HEALTH ,18,2010,41.37,9.33,6.1,2.49,0.5,6.168,1.03
CVS HEALTH ,18,2011,44.35,9.14,6.07,2.57,0.51,6.334,1
CVS HEALTH ,18,2012,50.36,10.24,6.5,3.029,0.5,6.884,1.54
CVS HEALTH ,18,2013,53.71,12.15,7.16,3.746,0.69,8.045,1.73
CVS HEALTH ,18,2014,46.56,12.24,6.92,3.973,0.81,8.293,1.61
CVS HEALTH ,18,2015,79.57,13.94,6.9,4.651,0.72,9.475,1.44
CVS HEALTH ,18,2016,55.14,14.29,6.4,4.904,0.48,9.715,1.78
CVS HEALTH ,18,2017,82.14,17.73,7.72,4.986,0.4,9.33,2.44
CVS HEALTH ,18,2018,51.56,-1.24,1.01,-0.668,0.35,4.025,2.54
CVS HEALTH ,18,2019,53.16,10.87,4.31,5.083,0.38,12.032,3.06
CVS HEALTH ,18,2020,46.5,10.77,4.18,5.463,0.33,12.677,2.71
RAYTHEON TECHNOLOGIES,19,2008,48.18,25.16,9.67,4.9,0.88,7.625,1.77
RAYTHEON TECHNOLOGIES,19,2009,52.7,21.37,8.02,4.12,1.23,6.465,3.08
RAYTHEON TECHNOLOGIES,19,2010,50.35,21.1,8.82,4.74,1.34,7.288,2.12
RAYTHEON TECHNOLOGIES,19,2011,63.33,23.02,9.37,5.49,1.14,8.155,2.15
RAYTHEON TECHNOLOGIES,19,2012,60.93,21.47,7.78,5.66,1.29,7.723,2.52
RAYTHEON TECHNOLOGIES,19,2013,50.54,19.8,7.22,6.246,1.66,9.346,2.49
RAYTHEON TECHNOLOGIES,19,2014,58.06,19.72,7.74,6.823,1.61,9.987,2.1
RAYTHEON TECHNOLOGIES,19,2015,61.44,25.98,9.38,8.614,1.51,7.412,2.08
RAYTHEON TECHNOLOGIES,19,2016,66.89,18.4,6.7,6.119,1.58,8.294,2.88
RAYTHEON TECHNOLOGIES,19,2017,50.32,15.92,5.69,6.56,1.7,8.78,2.4
RAYTHEON TECHNOLOGIES,19,2018,73.18,15.48,5.48,7.423,1.3,9.505,2.05
RAYTHEON TECHNOLOGIES,19,2019,50.25,13.8,5.13,6.409,1.68,10.016,2.65
RAYTHEON TECHNOLOGIES,19,2020,43.11,-6.18,-1.6,-2.592,1.72,-0.945,1.94
BOEING,20,2008,38.06,69.31,5.44,3.65,0.51,4.179,1.96
BOEING,20,2009,34.24,314.63,3.03,1.87,0.57,1.996,4.08
BOEING,20,2010,52.67,135.15,6.07,4.46,0.76,4.916,2.73
BOEING,20,2011,69.46,127.94,6.38,5.33,0.8,5.741,2.4
BOEING,20,2012,50.34,82.97,5.44,5.11,0.7,6.193,2.36
BOEING,20,2013,34.96,44.14,5.62,5.964,1.21,6.618,2.53
BOEING,20,2014,42,46.22,6.2,7.384,1.06,7.47,2.09
BOEING,20,2015,52,68.96,5.73,7.442,1.05,7.43,2.79
BOEING,20,2016,68.08,136.8,5.54,7.61,1.06,5.874,3.37
BOEING,20,2017,54.84,1397.78,9.28,11.705,1.93,10.407,3.58
BOEING,20,2018,46.69,1047.92,9.45,17.853,1.87,12.079,2.03
BOEING,20,2019,41.67,879.09,-0.05,-1.124,2.17,-1.537,2.35
