Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2000,2000,%,87.2,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2000,2000,%,29.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2001,2001,%,87.4,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2001,2001,%,31.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2002,2002,%,87.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2002,2002,%,33.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2003,2003,%,87.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2003,2003,%,35.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2004,2004,%,88,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2004,2004,%,37.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2005,2005,%,88,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2005,2005,%,39.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2006,2006,%,88.1,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2006,2006,%,41.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2007,2007,%,88.3,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2007,2007,%,43.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2008,2008,%,88.4,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2008,2008,%,45.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2009,2009,%,88.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2009,2009,%,47.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2010,2010,%,88.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2010,2010,%,49.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2011,2011,%,88.9,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2011,2011,%,51.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2012,2012,%,89,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2012,2012,%,53.5,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2013,2013,%,89.2,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2013,2013,%,55.4,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2014,2014,%,89.3,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2014,2014,%,57.3,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2015,2015,%,89.5,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2015,2015,%,59.2,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2016,2016,%,89.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2016,2016,%,61.1,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2017,2017,%,89.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2017,2017,%,62.9,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2018,2018,%,89.9,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2018,2018,%,64.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2019,2019,%,90,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2019,2019,%,66.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2020,2020,%,90.1,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2020,2020,%,68.4,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2000,2000,%,94.7,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2000,2000,%,23.7,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2001,2001,%,94.9,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2001,2001,%,25.2,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2002,2002,%,95.1,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2002,2002,%,26.7,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2003,2003,%,95.2,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2003,2003,%,28.1,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2004,2004,%,95.4,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2004,2004,%,29.6,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2005,2005,%,95.6,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2005,2005,%,31.2,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2006,2006,%,95.8,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2006,2006,%,32.8,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2007,2007,%,95.9,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2007,2007,%,34.3,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2008,2008,%,96.1,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2008,2008,%,35.9,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2009,2009,%,96.2,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2009,2009,%,37.5,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2010,2010,%,96.4,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2010,2010,%,39,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2011,2011,%,96.5,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2011,2011,%,40.6,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2012,2012,%,96.7,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2012,2012,%,42.1,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2013,2013,%,96.8,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2013,2013,%,43.7,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2014,2014,%,97,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2014,2014,%,45.2,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2015,2015,%,97.1,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2015,2015,%,46.7,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2016,2016,%,97.2,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2016,2016,%,48.2,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2017,2017,%,97.4,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2017,2017,%,49.7,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2018,2018,%,97.5,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2018,2018,%,51.2,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2019,2019,%,97.6,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2019,2019,%,52.7,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2020,2020,%,97.7,X,International reliable sources,
FS,Suite of Food Security Indicators,16,Bangladesh,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2020,2020,%,54.2,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2000,2000,%,83.3,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2000,2000,%,47,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2001,2001,%,84.4,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2001,2001,%,47.4,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2002,2002,%,85.4,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2002,2002,%,49.2,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2003,2003,%,86.4,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2003,2003,%,51.1,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2004,2004,%,87.3,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2004,2004,%,52.9,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2005,2005,%,88.3,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2005,2005,%,54.7,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2006,2006,%,89.1,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2006,2006,%,56.3,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2007,2007,%,90,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2007,2007,%,57.9,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2008,2008,%,90.8,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2008,2008,%,59.5,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2009,2009,%,91.6,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2009,2009,%,61.1,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2010,2010,%,92.4,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2010,2010,%,62.6,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2011,2011,%,93.2,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2011,2011,%,64.1,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2012,2012,%,94,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2012,2012,%,65.6,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2013,2013,%,94.7,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2013,2013,%,67.1,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2014,2014,%,95.4,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2014,2014,%,68.5,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2015,2015,%,96.2,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2015,2015,%,69.9,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2016,2016,%,96.8,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2016,2016,%,71.3,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2017,2017,%,97.2,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2017,2017,%,72.6,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2018,2018,%,97.3,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2018,2018,%,73.9,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2019,2019,%,97.3,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2019,2019,%,75.2,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2020,2020,%,97.3,X,International reliable sources,
FS,Suite of Food Security Indicators,18,Bhutan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2020,2020,%,76.5,X,International reliable sources,
